DÍA;Ubic;Horario;Latitude;Longitude
MIÉRCOLES;SOLEDAD ENTRE RECUERDO Y DESIERTO DE LOS LEONES;8:00 A 17:00 HORAS;19,340812056;-99,228648350
DOMINGO;VENUNCIA ESQ. AVENIDA BOSQUES;08:00 A 19:00 HORAS;19,266313703;-99,228143019
MARTES;RIO GUADALUPE Y RIO BALSAS;8:00 A 17:00 HORAS;19,344661607;-99,227183349
SÁBADO;SACALUM / TIXPEHUATL Y TIXKIKOB;08:00 A 19:00 HORAS;19,279059750;-99,227036308
JUEVES;SIERRA TARAHUMARA ENTRE SIERRA PARACAIMA  Y SIERRA LEONA;07:00 A 17:00 HORAS;19,413960004;-99,227105602
JUEVES;LUIS G URBINA ENTRE ANTONIO Y PASO DE LA NIEVE;8:00 A 17:00 HORAS;19,380738529;-99,226956294
JUEVES;AV. TOLUCA Y SAN AGUSTIN;8:00 A 17:00 HORAS;19,336840601;-99,226747326
MARTES;JOSE GALVEZ Y AVENIDA CENTENARIO;8:00 A 17:00 HORAS;19,359079645;-99,226728794
LUNES;SAN AGUSTIN Y SAN PEDRO;8:00 A 17:00 HORAS;19,336332817;-99,226583794
LUNES;FRANCISCO BOCANEGRA ENT. CALLE CAÃ‘ADA Y PASO SANTA ISABEL;8:00 A 17:00 HORAS;19,381588985;-99,226207788
LUNES;CALLE JALISCO;07:00 A 17:00 HORAS;19,313693752;-99,225848590
DOMINGO;AURORA ENTRE DEL MORAL Y DESIERTO DE LOS LEONES;8:00 A 17:00 HORAS;19,341026075;-99,225353284
MIÉRCOLES;AV TOLUCA ENTRE SAN JUAN Y SEMINARIO;8:00 A 17:00 HORAS;19,336641801;-99,225152783
MARTES;CAÑADA REAL Y CAÑADA ROSQUIN;8:00 A 17:00 HORAS;19,381897969;-99,225045779
JUEVES;LABNA / IZAMAL Y YOBAIN;08:00 A 19:00 HORAS;19,301740288;-99,224653515
DOMINGO;3RA. CERRADA DE BAHIA ENTRE PINO Y LAS AGUILAS;8:00 A 17:00 HORAS;19,348298200;-99,223282267
MIÉRCOLES;3RA. CERRADA DE BAHIA ENTRE PINO Y LAS AGUILAS;8:00 A 17:00 HORAS;19,347996715;-99,223278267
MIÉRCOLES;3RA. DE BAHIA, JACARANDAS Y CALZADA DE LAS AGUILAS;8:00 A 17:00 HORAS;19,348856171;-99,223275247
MARTES;YOBAIN / HECELCHACAN Y DZIBALCHEN HASTA HOPERCHEN;08:00 A 19:00 HORAS;19,277642501;-99,223156068
DOMINGO;CALLE MORELOS;07:00 A 17:00 HORAS;19,326394069;-99,222692023
SÁBADO;COLINA ENT. CDA. DE GUADALUPE Y RETORNO DE COLINA;8:00 A 17:00 HORAS;19,345406849;-99,222712763
JUEVES;TENOSIQUE / CONTOY Y HOPELCHEN;08:00 A 19:00 HORAS;19,286334396;-99,222086459
VIERNES;SIERRA SANTA ROSA ENTRE CALLE 14 Y CALLE 14 BIS.;07:00 A 17:00 HORAS;19,429856000;-99,222149754
LUNES;ADOLFO DE LA HUERTA ENTRE RUIZ CORTINEZ Y BENITO JUAREZ;8:00 A 17:00 HORAS;19,375611793;-99,221648253
LUNES;LLANURA ENTRE BAHIA Y ESCOLLO;8:00 A 17:00 HORAS;19,349156155;-99,221263751
DOMINGO;ADOLFO DE LA HUERTA ENTRE ALVARO OBREGON Y ADOLFO RUIZ CORTINEZ;8:00 A 17:00 HORAS;19,375845971;-99,221284210
DOMINGO;HALACHO / CONTOY Y CALKINI;08:00 A 19:00 HORAS;19,287793584;-99,220879117
DOMINGO;AV SANTA LUCIA ENTRE CALLE 30 CALLE 34;8:00 A 17:00 HORAS;19,368044682;-99,220749246
MIÉRCOLES;LERDO DE TEJADA Y MANUEL AVILA CAMACHO;8:00 A 17:00 HORAS;19,375898608;-99,219493246
JUEVES;HUEHUETAN / TENOSIQUE Y HALACHO;08:00 A 19:00 HORAS;19,287209191;-99,218959016
LUNES;CALKINI / TIZIMIN HASTA HUEHUETAN;08:00 A 19:00 HORAS;19,289450982;-99,218819992
SÁBADO;AV MEXICO ESQUINA GUANAJUATO;8:00 A 17:00 HORAS;19,380997935;-99,218897411
SÁBADO;U.H. EMILIO PORTES GIL INTERIOR DE LA UNIDAD;08:00 A 19:00 HORAS;19,305774681;-99,218668547
MIÉRCOLES;U.H. EMILIO PORTES GIL INTERIOR DE LA UNIDAD;08:00 A 19:00 HORAS;19,305853088;-99,218397750
DOMINGO;TRANSMISIONES / U.H. EMILIO PORTES  GIL Y PERIFERICO;08:00 A 19:00 HORAS;19,306456666;-99,218268431
SÁBADO;AV. TACAMACHALCO ENTRE CALLE 6 Y CALLE 4;07:00 A 17:00 HORAS;19,430086925;-99,217426277
MARTES;ING. MILITARES ENTRE PRESA SALINILLAS Y LOMAS DE SOTELO;07:00 A 17:00 HORAS;19,444870513;-99,217361074
DOMINGO;CARRETERA PICACHO AJUSCO / JACARANDA Y ENCINO;08:00 A 19:00 HORAS;19,269020228;-99,216690754
MIÉRCOLES;GRAL. CONDE Y PALOMAS ENTRE CALLE 1 Y CALLE 9;07:00 A 17:00 HORAS;19,432962129;-99,216732796
LUNES;BOSQUES DE VIENA / HECELCHACAN Y CONTOY;08:00 A 19:00 HORAS;19,273955644;-99,216522798
JUEVES;JOSE CARDEL, E. AÑORVE HASTA H. GALEANA Y CALZ DE LA NARANJA;8:00 A 19:00 HORAS;19,474422134;-99,216726886
VIERNES;PICHUCALCO / TIXCOCOB, DZIBALCHEN, CHAPULTENANGO Y MAXCANU;08:00 A 19:00 HORAS;19,278840775;-99,216384080
MARTES;PRESA SALINILLAS ENTRE ING. MILITARES Y LOMAS DE SOTELO;07:00 A 17:00 HORAS;19,444706093;-99,216331015
MARTES;PRESA SALINILLAS ENTRE CALLE TEPUXTEPEC Y PRESA SALINILLAS;07:00 A 17:00 HORAS;19,444706093;-99,216331015
SÁBADO;PRESA SALINILLAS ENTRE LOMAS DE SOTELO E ING. MILITARES;07:00 A 17:00 HORAS;19,444706093;-99,216331015
LUNES;CALLE 6 ENTRE CALZADA AL DESIERTO DE LOS LEONES Y CALLE 2;8:00 A 17:00 HORAS;19,341839132;-99,215992710
DOMINGO;MARCO POLO Y VILLALOBOS;8:00 A 17:00 HORAS;19,378915112;-99,215901207
JUEVES;ROMULO O'FARRIL Y AMPLICACION LAS AGUILAS;8:00 A 17:00 HORAS;19,354121399;-99,215126703
JUEVES;AV ROMULO O'FARRIL Y CALZ DE LAS AGUILAS, PARQUE ECOL JAPON;8:00 A 17:00 HORAS;19,354294490;-99,215119702
SÁBADO;AV ROMULO O'FARRIL Y CALZ DE LAS AGUILAS, PARQUE ECOL JAPON;8:00 A 17:00 HORAS;19,354209495;-99,215027702
MARTES;RIO SAN BORJA Y AND. PRINCIPAL;8:00 A 17:00 HORAS;19,375740386;-99,215008700
JUEVES;CALZADA LA NARANJA DESDE HERMENEGILDO GALEANA, CALZADA SANTIAGO AHUIZOTLA,DANDO VUELTA SOBRE EMILIO CARRANZA, GUSTAVO BAZZAN, FRANCISCO VILLA Y CALLE JOSE CARDEL;8:00 A 19:00 HORAS;19,473388983;-99,215000679
SÁBADO;SIERRA MOJADA;07:00 A 17:00 HORAS;19,430219756;-99,214324061
MIÉRCOLES;POLVORA ENTRE HOLANDESES E ITALIANOS;8:00 A 17:00 HORAS;19,390705515;-99,213901190
DOMINGO;(INT.DEL MERCADO PROVIDENCIA)  LUCIO BLANCO Y VENUSTIANO CARRANZA;8:00 A 17:00 HORAS;19,491531696;-99,213642466
MARTES;INT.MERCADO PROVIDENCIA, LUCIO BLANCO Y V. CARRANZA;8:00 A 19:00 HORAS;19,491531696;-99,213642466
LUNES;ERNESTO P. URUCHURTU ENT. AV. SANTA LUCIA E HIDALGO;8:00 A 17:00 HORAS;19,370776611;-99,213482558
LUNES;ERNESTO P. URUCHURTU ENTRE AV. SANTA LUCIA Y PADRE HIDALGO;8:00 A 17:00 HORAS;19,370907034;-99,213468688
DOMINGO;AV. MEXICANOS ENT. CUBANOS Y MDO. BONANZA;8:00 A 17:00 HORAS;19,385881763;-99,213374187
LUNES;AV. MEXICANOS ENT. BRASILEÃ‘OS Y URUGUAYOS;8:00 A 17:00 HORAS;19,385971759;-99,212967683
LUNES;CALLE 6 ENTRE DESIERTO DE LOS LEONES Y CALLE 2;8:00 A 17:00 HORAS;19,343012472;-99,212423182
DOMINGO;CALLE 6 ENTRE CALE 2 Y 3;8:00 A 17:00 HORAS;19,342982063;-99,212401542
LUNES;AVENIDA MEXICANOS ENTRE URUGUAYOS Y BOLIVIANOS;8:00 A 17:00 HORAS;19,386098252;-99,211856175
MARTES;TRANSMISIONES / CALLE 7 CALLE 9;08:00 A 19:00 HORAS;19,275365891;-99,210831540
LUNES;AVENIDA MEXICANOS, BRASILEÃ‘OS Y CHILENOS;8:00 A 17:00 HORAS;19,386417736;-99,210963148
MARTES;SAN MARCOS, ENTRE POLVORA Y DOMINICANOS;8:00 A 17:00 HORAS;19,392121322;-99,210705705
DOMINGO;AVENIDA OBSERVATORIO BIZNAGA Y HENEQUEN;8:00 A 17:00 HORAS;19,398696303;-99,210390362
MARTES;JAIME BALMES ENTRE EJERCITO NACIONAL Y HOMERO;07:00 A 17:00 HORAS;19,437649785;-99,210074873
DOMINGO;PADRE HIDALGO Y EL ARBOL;8:00 A 17:00 HORAS;19,375372604;-99,209883270
MIÉRCOLES;PADRE HIDALGO Y ARBOL;8:00 A 17:00 HORAS;19,375269870;-99,209851689
SÁBADO;CALZADA DE LAS AGUILAS ENTRE RIVERA Y GUTIERREZ ZAMORA;8:00 A 17:00 HORAS;19,357919713;-99,209791160
MIÉRCOLES;HERREROS, ESQ. CALZ. DE LAS ARMAS NORTE;8:00 A 19:00 HORAS;19,510537726;-99,209845459
MARTES;AV. TRANSMISIONES ENT. SALVATIERRA Y AV. TOLUCA;8:00 A 17:00 HORAS;19,340602096;-99,209420658
SÁBADO;RIO SAN BORJA Y AVENIDA CAPULA;8:00 A 17:00 HORAS;19,379201177;-99,209190704
LUNES;AV. CHICAGO ENTRE URANO Y JUPITER;8:00 A 17:00 HORAS;19,381123008;-99,209120653
SÁBADO;BENITO JUÁREZ / LÁZAROI CÁRDENAS Y JESÚS LECUONA;08:00 A 19:00 HORAS;19,282622210;-99,208987705
MARTES;BENITO JUÁREZ / LÁZARO CÁRDENAS Y JESÚS LECUONA;08:00 A 19:00 HORAS;19,282188448;-99,208881608
DOMINGO;BENITO JUÁREZ / LÁZAROI CÁRDENAS Y JESÚS LECUONA;08:00 A 19:00 HORAS;19,281882456;-99,208711812
MARTES;HERREROS, ENTRE GEOGRAFIA Y GEOLOGIA;8:00 A 19:00 HORAS;19,511347509;-99,208781741
VIERNES;HERREROS, ENTRE CIBERNETICA Y GEOLOGIA;8:00 A 19:00 HORAS;19,511347509;-99,208781741
VIERNES;ACANTO / CARRETERA PANORAMICA PICACHO AJUSCO Y CDA. DE CARDOS;08:00 A 19:00 HORAS;19,275487669;-99,208349493
MIÉRCOLES;RIO SAN BORJA Y AVENIDA CAPULA;8:00 A 17:00 HORAS;19,379610586;-99,208394648
JUEVES;CALLE 21 ENTRE CALLE 10 Y 13;8:00 A 17:00 HORAS;19,373061243;-99,208097186
MARTES;BARRANCA HONDA ENTRE QUERETARO Y DEL RIO;8:00 A 17:00 HORAS;19,336249820;-99,207606154
DOMINGO;DUNA, CALZADA DE LAS AGUILAS Y CERRADA DE LAS AGUILAS;8:00 A 17:00 HORAS;19,358918122;-99,207595993
JUEVES;ACAMBARO ENTRE SALVATIERRA Y VERACRUZ;8:00 A 17:00 HORAS;19,341187565;-99,207266141
SÁBADO;AV 5 DE MAYO No.62, EX MODULO 15 RTP;8:00 A 17:00 HORAS;19,364193880;-99,207032638
DOMINGO;PLAZA ETIOPIA, SOBRE HERREROS;8:00 A 19:00 HORAS;19,511662631;-99,206579611
JUEVES;PLAZA ETIOPIA, SOBRE HERREROS;8:00 A 19:00 HORAS;19,511662631;-99,206579611
MARTES;PLAZA ETIOPIA, SOBRE HERREROS;8:00 A 19:00 HORAS;19,511662631;-99,206579611
SÁBADO;PLAZA ETIOPIA, SOBRE HERREROS;8:00 A 19:00 HORAS;19,511662631;-99,206579611
SÁBADO;CARRETERA PICACHO AJUSCO CASI ESQ. CON ENCINOS;08:00 A 19:00 HORAS;19,272132410;-99,206076751
JUEVES;CALLE 20 ENT. CALLE 10 Y AVENIDA SANTA LUCIA;8:00 A 17:00 HORAS;19,373395406;-99,206155130
DOMINGO;DURANGO ENT. JALAPA Y OLIVAR;8:00 A 17:00 HORAS;19,337126774;-99,205484127
SÁBADO;SUR 140 ENTRE AV. OBSERVATORIO Y CALLE PONIENTE 75 BIS.;07:00 A 17:00 HORAS;19,402021816;-99,205307546
